frame_id,source_dir,frame_dir,frame_number,raw_frame_path,split,crop_count,ground_truth_code,notes,session_observations
live-setup-20260616-201017__frame-1,live-setup-20260616-201017,frame-1,1,raw/live-setup-20260616-201017/debug/frame-1,train,8,SWE8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8
live-setup-20260616-201017__frame-2,live-setup-20260616-201017,frame-2,2,raw/live-setup-20260616-201017/debug/frame-2,train,8,SWE8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8
live-setup-20260616-201017__frame-3,live-setup-20260616-201017,frame-3,3,raw/live-setup-20260616-201017/debug/frame-3,train,8,SWE8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8
live-setup-20260616-201017__frame-4,live-setup-20260616-201017,frame-4,4,raw/live-setup-20260616-201017/debug/frame-4,train,8,SWE8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8
live-setup-20260616-201017__frame-5,live-setup-20260616-201017,frame-5,5,raw/live-setup-20260616-201017/debug/frame-5,test,8,SWE8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8,Session de baseline para alinhamento ROI/focus; historico de leitura mostrou NED 14;  SUI 14;  QAT 4 e SWE 8
live-user-20260616-201108__frame-4,live-user-20260616-201108,frame-4,4,raw/live-user-20260616-201108/debug/frame-4,train,8,SWE8,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos
live-user-20260616-201108__frame-5,live-user-20260616-201108,frame-5,5,raw/live-user-20260616-201108/debug/frame-5,train,6,SWE8,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos
live-user-20260616-201108__frame-6,live-user-20260616-201108,frame-6,6,raw/live-user-20260616-201108/debug/frame-6,train,8,SWE8,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos
live-user-20260616-201108__frame-7,live-user-20260616-201108,frame-7,7,raw/live-user-20260616-201108/debug/frame-7,train,6,SWE8,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos
live-user-20260616-201108__frame-8,live-user-20260616-201108,frame-8,8,raw/live-user-20260616-201108/debug/frame-8,train,6,SWE8,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos,Sticker em foco com Salvar quadros ligado; leituras recentes repetiam SWE8 com historico antigo de falso-positivos
